번호,제목
1,거룩거룩거룩
2,주 찬양하여라
3,만유의 대왕
4,아브라함의 하나님
5,온 천하 만물 우러러
6,찬송하는 소리 있어
7,주 예수 이름 높이어
8,왕관을 드리세
9,성도여 찬양해
10,빛나고 높은 왕좌
11,만입이 내게 있으면
12,구세주를 아는 이들
13,주 은혜를 구하려
14,왕 되신 주님께
15,내 영혼아 곧 깨어서
16,내 영혼아 찬양하라
17,형제들아 경배하자
18,주 예수 이름 높이어
19,참 즐거운 노래를
20,큰 영광 중에 계신 주
21,찬양하라
22,아름다운 세상과
23,지난 한 주 동안도
24,내 주는 강한 성이요
25,주 하나님 큰 일을 행하셨네
26,내 영혼이 찬양하네
27,참 아름다워라
28,오직 믿으라
29,모든 노래 중 가장 큰 노래
30,주님의 권능 임하사
31,그 크신 하나님의 사랑
32,피난처 있으니
33,하나님은 독생자를
34,주님의 사랑 끊을 자 없네
35,나 죄악 세상 어둠 속을
36,날 사랑하시사 십자가 달린 주
37,구주의 사랑
38,찬송으로 보답 할 수 없는
39,주 예수 날 사랑하시니
40,은혜의 바다로
41,놀라운 주의 은혜
42,그 사랑이 날 건졌네
43,주의 갈보리 사랑
44,주 사랑 놀랍네
45,왜 날 사랑하나
46,눈을 들어 산을 보니
47,지금까지 지내온 것
48,오 신실하신 주
49,선한 목자 되신 우리 주
50,때 저물어 날 이미 어두니
51,내 눈을 들어 두루 살피니
52,주는 만왕의 왕
53,전능하신 여호와여
54,다만 한 걸음씩
55,그 손 못자국 만져라
56,이 세상의 친구들
57,너 근심 걱정 말아라
58,공중 나느 새를 보라
59,오 놀라운 구세주 예수 내 주
60,큰 폭풍 일 때 피난처
61,내 주가 인도하시니
62,큰 풍파 주 뜻 복종하리라
63,나의 갈 길 다 가도록
64,어디든지 예수 나를 이끌면
65,주와 함께 동행함은
66,저 푸른 들 시원한 그늘 밑에
67,주여 인도하소서
68,늘 동행해 주시리
69,내가 너를 지키리라
70,한 걸음씩 주님 뒤를 따르네
71,주의 선하심과 긍휼하심
72,하늘의 아버지 돌보신다
73,예부터 도움 되시고
74,저 천국 가는 길
75,고요한 바다로
76,주는 나를 기르시는 목자
77,내일 일 나 알 수 없네
78,참새를 돌보시는 주님
79,주 너를 돌아보시네
80,주께서 내 길 예비하시네
81,예수 인도하셨네
82,주와 함께 걸어가겠네
83,주가 곁에 계시네
84,주를 뵙기 원하네
85,공중에는 노래
86,선한 목자
87,주 안에 숨겨진 귀한 보배
88,주신 복을 세어 보아라
89,복 있는 자
90,고요한 밤 거룩한 밤
91,기쁘다 구주 오셨네
92,저 들 밖에 한 밤중에
93,오 베들레헴 작은 골
94,천사 찬송하기를
95,그 맑고 환한 밤중에
96,고요한 밤 하늘에
97,참 반가운 성도여
98,그 귀한 이름
99,그 어리신 예수
100,거룩한 밤
101,큰 죄에 빠진 나를
102,예수의 귀한 이름은
103,그 날
104,비천한 구유에 탄생한 주
105,어저께나 오늘이나
106,하늘 영광의 왕좌를 떠났네
107,예수 나를 위하여
108,오 거룩한 머리에
109,갈보리산 위에
110,저 십자가
111,생명의 주여 왕관을
