날짜,설교제목,본문,오전찬송,헌금찬송,마무리찬송,비고
2022-06-05,주일 오전예배 - 가득 채우라,요한복음 2:1 ~ 11,47;148,156,240,
2022-06-12,주일 오전예배 - 하나님을 경험하는 신앙,다니엘 6:10,255;402,373,399,교회개척 7주년 감사예배
2022-06-19,주일 오전예배-방주로 들어오라 (1),창세기 7:1,59;63,377,399,
2022-06-26,주일 오전예배-연약한 것들을 자랑하리니,고린도후서 12:9~10,196;220,346,402,
2022-07-10,주일 오전예배-내가 바로 그니라 (1),요한복음 8:21~27,148;290,289,396,
2022-07-17,주일 오전예배-기꺼이 헌신하자! (1),베드로후서 3:1~18,399;402,410,396,
2022-07-24,주일 오전예배-너희 자신을 검증하라 (1),고린도후서 13:5,240;287,449,410,
2022-07-31,주일 오전예배-독수리 날개들에 실어,요한일서 2:1~15,339;562,421,402,
2022-08-07,주일 오전예배-왕가의 거룩한 제사장 (1),요한일서 2:15~29,59;346,156,414,
2022-08-14,주일 오전예배-그분의 피를 믿는 믿음,로마서 3:21~26,195;196,269,402,
2022-09-04,"주일 오전예배-달리다굼, 소녀야 일어나라!",마가복음 5:21~43,267;289,399,326,
2022-09-18,주일 오전예배-너 어리석은 자야,요한삼서 1:1~13,47;438,398,542,
2022-10-02,주일 오전예배-젊음의 이슬,계시록 1:1~20,63;88,562,383,
2022-10-09,주일 오전예배-주께서 내 주께 말씀하시기를,마태복음 22:41~46,8;172,438,383,
2022-10-23,주일 오전예배-부자와 거지 나사로,계시록 4:1~11,23;412,330,394,
2022-10-30,주일 오전예배-하늘에서 내려온 빵,요한복음 6:26~40,101;451,71,394,
2022-11-06,주일 오전예배-실수(죄)로 부터 배우는 교훈들(1),다니엘 6:4~5,16;196,179,237,
2022-11-13,주일 오전예배-실수(죄)로 부터 배우는 교훈들 (2),다니엘 6:4~5,65;214,179,390,부활 주일
2022-11-27,주일 오전예배-실수(죄)로 부터 배우는 교훈들 (3),다니엘 6:4~5,49;112,237,396,
2022-12-04,주일 오전예배-당신이 들으면 행복해지는 이야기,에베소서 1:1~23,59;131,179,401,
2022-12-11,주일 오전예배-먼저 자신을 주께 드리고,고린도후서 8:1~5,41;288,237,436,
2022-12-18,주일 오전예배-하늘에 있는 것들,계시록 12:1~17,49;236,179,500,
2022-12-25,주일 오전예배-믿는 자들에게 주는 약속들 (1),계시록 13:1~18,94;112,237,402,
2023-01-08,"주일 오전예배-십자가, 예언된 죽음",사도행전 2:22~24,55;148,179,400,
2023-01-15,"주일 오전예배-십자가, 계시된 해석",갈라디아서 1:11~12,37;150,477,364,
2023-02-05,주일 오전예배-십자가와 삶,갈라디아서 2:20,45;289,444,381,
2023-02-12,주일 오전예배-기쁨 충만,갈라디아서 2:20,49;442,338,399,
2023-02-26,주일 오전예배-서로 불평하지 말자,야고보서 5:7~9,18;503,338,329,
2023-03-19,주일 오전예배-모든 일에 본으로 보이라,디도서 2:1~10,29;460,343,208,
2023-03-26,주일 오전예배-내 멍에를 메고,마태복음 11:28~30,21;130,364,377,부활 주일
2023-04-02,주일 오전예배-내게 배우라,마태복음 11:28~30,52;167,364,399,
2023-04-09,주일 오전예배-만족하면서 주를 따르라,디모데전서 6:6~8,21;327,179,402,
2023-04-16,주일 오전예배-부활의 증인들이라,누가복음 24:44~49,45;121,285,120,
2023-04-23,주일 오전예배-주께서 받으실 만하게,히브리서 10:28,40;117,373,337,
